path	bytes	sha256
answers/challenge_30.answers.jsonl	2413	63b27b8c6a10f357bdb9480d30fb012c01140b93e0e22dc0c14dd06531d8abcc
answers/eval_40.answers.jsonl	2402	2dded4ce6c636f0e8fd8768db22e6061cfca7dfc9a6ed1c7abacb5aa50e29dbc
canonical/train_80.canonical.jsonl	63748	c6c967d1b23a166a26e1e540b9d6bca29446a2ea9f52409f69ec833336310f44
export/challenge_30.inputs.jsonl	20322	94e02e94020a16c1aa63290293b27e2b9dbc46d5855bb2099b4a5ee338daf244
export/eval_40.inputs.jsonl	18824	9ff89f6121bd52be445b3fbe03911725df74388a82c81c92f7ff5a5be620e203
export/preview_20.jsonl	25688	790f16319a8171a2dd4ff726df9fbad199630dcb27ea0a29498b42f9cfc1b64a
export/train_80.sft_messages.jsonl	79138	8ac88d20971cecf3f244a31fbb5bff277da7e63f77921d856fd5a5f78234b2cc
reports/PACK_CONTRACT.json	730	4f3aa069b13be87f167460de3ce69ccfbfdf6b1ee68d88cfd72b172b66b15bc9
reports/PUBLIC_SAFE.md	356	09f518a7c4730b73bdb1b887fcc32004cab0e6fe757654fa506ae71e0d6c69b1
reports/README.md	351	13defc9f989a819969932718a19d084d34c0557bb0df6db1e00d58ce22523a13
