path	bytes	sha256
answers/challenge_12.answers.jsonl	841	08ba251cd6bd350611299640ec56f6d16cefd5fc3f42a5821433b7e44304bf02
answers/eval_16.answers.jsonl	1159	419ffec0f2951d1f8ba34af41ccd179c60bc44d437753d1070048426b5b876fa
canonical/train_24.canonical.jsonl	30990	6ea3faa7317b836c363e49238c0d56f46b0b1af82b0fb8af004af805927616bf
export/challenge_12.inputs.jsonl	10692	c724e5951da466e40cda1e99e46c873fb5dbc35f0b6990f872f70118c566fb3f
export/eval_16.inputs.jsonl	13863	97b08de04a3624cd1c1e4c461d7412856cb5c0059572cb9d54c737b8798e1642
export/preview_8.jsonl	10366	517413620d8c918249ed1978251430c15d28a411400c8b6374cd6b47bfc180a4
export/train_24.sft_messages.jsonl	37433	ee59f0685bb56b72649e4ffcf5af8e2db7ddbe8d9e3ec489fefd4ee8b413c4eb
reports/PACK_CONTRACT.json	774	d66c9d14e735406da213ce44d5b1cad4ada6ea0615a018ffc474520fab67e005
reports/PROVENANCE.jsonl	31885	a14be463370607a7d9d8a17ac572cde8871dae35f905be5d19022934441fc7d8
reports/PUBLIC_SAFE.md	329	19302e4e7fc38c5e90266598cafe1297bba5a7736898ebb0f8efd8ba134eeb23
reports/README.md	152	1afe9ddb5776dfb7c160cb1e7974cd8107f70724b1a438f4843e72ee7d7567d3
