path	bytes	sha256
answers/challenge_12.answers.jsonl	843	a38dabd2c9bed59ebb68a1987185fd322b071cc6957fe22d7bd727c92e4d7f9f
answers/eval_16.answers.jsonl	1172	23b6a24136b50f6fac918ef3694d2e48f527ac5cae22d8e086176c4fa6e23020
canonical/train_24.canonical.jsonl	30491	a21a4619a6e3e009dfe5d8062ae5121099a16c0eb45f807feb9cd0ecdc2af2a7
export/challenge_12.inputs.jsonl	10646	1609a41e559943128d82d1b7f89f4731790ba07632a6d44b595bcf896e48f6a0
export/eval_16.inputs.jsonl	14202	c4b69d20e837148a7d3cf28fa5f8fc383ac85f52bb05a8f733fcfacdf6d7f3c0
export/preview_8.jsonl	10245	c003f4718b0bea5a1f32778aefb4f7bfbc3a6fc2853fa023a23ce25b0def65b9
export/train_24.sft_messages.jsonl	35841	3865d5942dc01a462fc4075a0a5e6d2f5fb184fd74ced2a674f64d42fd4bde0a
reports/PACK_CONTRACT.json	822	33652406c8e97b2c23597ba674eb895d86ec26d092f8899576f9e33717d83cb7
reports/PROVENANCE.jsonl	33196	1ec49ba2b76aef77c382cf0ac3bf8da54a824989d88ee33ccdd0ec04a6551ea3
reports/PUBLIC_SAFE.md	408	04814319cbb9c16681d9486f6a1fb2e4e8b483eff873bd41bdae4b747ab245ea
reports/README.md	159	6f1714427e77ef90d3c432b0f83ba680916ee60f8a1a807e34a879b2ce24f6ec
